source_path,target_path,classification,direct_owner,imports,package_data,tests,conflict,action,status,evidence
src/pe_claw_gui/topologies/dc_ac/__init__.py,src/pe_claw_gui/topologies/dc_ac/__init__.py,keep,dc_ac package,,none,phase9_dc_ac_topologies,source and target package markers differ only in placeholder wording,keep target package entry,baseline_confirmed,migration/phase1/dc_ac_dependency_matrix_summary.md
src/pe_claw_gui/topologies/dc_ac/single_phase_full_bridge_inverter/*.py,src/pe_claw_gui/topologies/dc_ac/single_phase_full_bridge_inverter/*.py,keep,single-phase topology,base contracts; models; ambient metadata,none,phase9_dc_ac_topologies; source topology test,all six core files SHA-256 identical,retain target implementation,baseline_confirmed,migration/phase0/dc_ac_step0_baseline.md
src/pe_claw_gui/topologies/dc_ac/three_phase_two_level_voltage_source_inverter/*.py,src/pe_claw_gui/topologies/dc_ac/three_phase_two_level_voltage_source_inverter/*.py,keep,three-phase two-level topology,base contracts; models; semiconductor metadata,none,phase9_dc_ac_topologies; source topology test,all six core files SHA-256 identical,retain target implementation,baseline_confirmed,migration/phase0/dc_ac_step0_baseline.md
src/pe_claw_gui/topologies/dc_ac/three_phase_three_level_npc_inverter/*.py,src/pe_claw_gui/topologies/dc_ac/three_phase_three_level_npc_inverter/*.py,keep,three-phase NPC topology,base contracts; models; semiconductor metadata,none,phase9_dc_ac_topologies; source topology test,all six core files SHA-256 identical,retain target implementation,baseline_confirmed,migration/phase0/dc_ac_step0_baseline.md
src/pe_claw_gui/app/category_views/dc_ac_page.py,src/pe_claw_gui/app/category_views/dc_ac_page.py,keep,DC-AC category page,registry; topology card assets,dc_ac topology PNGs,phase10_gui_integration,SHA-256 identical,retain target page,baseline_confirmed,migration/phase0/dc_ac_step0_baseline.md
src/pe_claw_gui/app/topology_forms/single_phase_full_bridge_inverter_form.py,src/pe_claw_gui/app/topology_forms/single_phase_full_bridge_inverter_form.py,keep,single-phase GUI form,models; base form,none,phase10_gui_integration,SHA-256 identical,retain target form,baseline_confirmed,migration/phase0/dc_ac_step0_baseline.md
src/pe_claw_gui/app/topology_forms/three_phase_two_level_voltage_source_inverter_form.py,src/pe_claw_gui/app/topology_forms/three_phase_two_level_voltage_source_inverter_form.py,keep,two-level GUI form,models; base form,none,phase10_gui_integration,SHA-256 identical,retain target form,baseline_confirmed,migration/phase0/dc_ac_step0_baseline.md
src/pe_claw_gui/app/topology_forms/three_phase_three_level_npc_inverter_form.py,src/pe_claw_gui/app/topology_forms/three_phase_three_level_npc_inverter_form.py,keep,NPC GUI form,models; base form,none,phase10_gui_integration,SHA-256 identical,retain target form,baseline_confirmed,migration/phase0/dc_ac_step0_baseline.md
src/pe_claw_gui/app/assets/topologies/dc_ac/*.png,src/pe_claw_gui/app/assets/topologies/dc_ac/*.png,keep,DC-AC topology cards,package resources,three PNG resources,phase10_gui_integration,all three asset SHA-256 values identical,retain target resources,baseline_confirmed,migration/phase0/dc_ac_step0_baseline.md
src/pe_claw_gui/topologies/base/registry.py,src/pe_claw_gui/topologies/base/registry.py,merge,topology registry,DC-AC module paths; form paths,none,phase4_topology_contracts; phase9_dc_ac_topologies,source and target registry have different accumulated topology sets,compare and preserve target 19-topology registry,planned_step3,source/target hash audit
src/pe_claw_gui/app/topology_forms/__init__.py,src/pe_claw_gui/app/topology_forms/__init__.py,merge,form registry,all topology form exports,none,phase4_topology_contracts,source has one additional historical form export,merge only DC-AC exports with target forms,planned_step3,source/target hash audit
src/pe_claw_gui/app/topology_card_assets.py,src/pe_claw_gui/app/topology_card_assets.py,merge,topology resource loader,importlib.resources; Tk,dc_ac PNG mapping,phase10_gui_integration,source and target include different category asset mappings,retain target wheel-safe loader and verify DC-AC resources,planned_step3,source/target hash audit
src/pe_claw_gui/app/shell/main_window.py,src/pe_claw_gui/app/shell/main_window.py,adapt,GUI shell,registry; controllers; workspace,none,phase2_gui_bootstrap; phase10_gui_integration,source has larger report and assessment routing,adapt callbacks without agentic coupling,planned_step7,source/target hash audit
