category,topology_id,source_registered,source_plugin_import,source_form_import,target_registered_baseline,target_plugin_import_baseline,target_form_import_baseline,migration_registration,migration_form,migration_plugin,migration_pipeline,migration_gui_results,migration_parity,status,notes
ac_dc,single_phase_diode_bridge_rectifier_capacitor_filter,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 8 migrated; capacitor-input rectifier and source-resistance pulse model preserved.
ac_dc,single_phase_diode_bridge_rectifier_dc_inductor_filter,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 8 migrated; DC-side reactor state-space first-pass model preserved.
ac_dc,three_phase_diode_bridge_rectifier_capacitor_filter,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 8 migrated; six-pulse capacitor-input model preserved.
ac_dc,single_phase_boost_pfc_diode_bridge,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 8 migrated; CCM line-cycle envelope and PFC role boundaries preserved.
ac_dc,single_phase_totem_pole_bridgeless_pfc,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 8 migrated; HF/LF role model and zero-crossing limitations preserved.
dc_ac,single_phase_full_bridge_inverter,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 9 migrated; CCM unipolar-SPWM path and TCM input boundary preserved; downstream stages remain selection-gated.
dc_ac,three_phase_two_level_voltage_source_inverter,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 9 migrated; three-phase SPWM, six-switch role mapping, per-phase inductor and DC-link capacitor paths preserved.
dc_ac,three_phase_three_level_npc_inverter,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 9 migrated; PD level-shifted SPWM, split DC-link, 12 active-switch/6 clamp-diode roles and per-phase magnetic path preserved.
dc_dc,buck_diode_rectified_unidirectional,True,pass,pass,True,pass,pass,pass,pass,pass,pass,pass,first_pass,complete,Phase 5 and Phase 12 deterministic pipeline and GUI result verification passed.
dc_dc,buck_synchronous_rectified_unidirectional,True,pass,pass,True,pass,pass,pass,pass,pass,pass,pass,first_pass,complete,Phase 5 and Phase 12 deterministic pipeline and GUI result verification passed.
dc_dc,buck_boost_diode_rectified_unidirectional,True,pass,pass,True,pass,pass,pass,pass,pass,pass,pass,first_pass,complete,Phase 5 and Phase 12 deterministic pipeline and GUI result verification passed.
dc_dc,four_switch_buck_boost_simplified_four_mode,True,pass,pass,True,pass,pass,pass,pass,pass,pass,pass,first_pass,complete,Phase 5 and Phase 12 deterministic pipeline and GUI result verification passed.
dc_dc,three_level_tzcm_fixed_frequency,True,pass,pass,True,pass,pass,pass,pass,pass,pass,pass,first_pass,complete,Phase 5 and Phase 12 deterministic pipeline and GUI result verification passed.
dc_dc,boost_diode_rectified_unidirectional,True,pass,pass,True,pass,pass,pass,pass,pass,pass,pass,first_pass,complete,Phase 5 and Phase 12 deterministic pipeline and GUI result verification passed.
dc_dc,boost_synchronous_rectified_unidirectional,True,pass,pass,True,pass,pass,pass,pass,pass,pass,pass,first_pass,complete,Phase 5 and Phase 12 deterministic pipeline and GUI result verification passed.
dc_dc,llc_resonant_converter_diode_rectifier,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 7 migrated; FHA electrical path and GUI backend are executable with source limitations preserved.
dc_dc,llc_resonant_converter_synchronous_rectifier,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 7 migrated; SR role/timing/loss/readback boundary preserved.
dc_dc,flyback_diode_rectified_isolated,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 7 migrated; BCM/DCM/CCM and independent diode path preserved.
dc_dc,phase_shifted_full_bridge_diode_rectifier_isolated,True,pass,pass,False,not registered,not registered,pass,pass,pass,pass,pass,first_pass,complete,Phase 7 migrated; duty-loss/ZVS first-pass boundary preserved.
